CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Person,Downtown,1/2/18,0745,Sex Offenses,Fondling,1/2/18,1,2018
Person,Downtown,1/4/18,0533,Kidnapping/Abduction,Kidnapping/Abduction,1/4/18,1,2018
Person,Downtown,1/4/18,0533,Sex Offenses,Fondling,1/4/18,1,2018
Property,Downtown,1/3/18,1531,Larceny Offenses,Theft From Building,1/3/18,1,2018
Person,Downtown,1/8/18,1230,Assault Offenses,Simple Assault,1/8/18,1,2018
Person,Downtown,1/8/17,2320,Assault Offenses,Intimidation,1/8/18,1,2018
Person,Downtown,12/30/17,0000,Assault Offenses,Simple Assault,1/8/18,1,2018
Person,Downtown,1/5/18,1410,Assault Offenses,Simple Assault,1/10/18,1,2018
Person,Downtown,1/21/18,1737,Homicide Offenses,Murder and Non-negligent Manslaughter,1/21/18,1,2018
Person,Downtown,1/20/18,0501,Sex Offenses,Fondling,1/20/18,1,2018
Person,Downtown,1/24/18,0549,Assault Offenses,Simple Assault,1/24/18,1,2018
Property,Downtown,11/1/17,1200,Larceny Offenses,All Other Larceny,1/22/18,1,2018
Person,Downtown,1/27/18,0035,Sex Offenses,Fondling,1/27/18,1,2018
Person,Downtown,1/27/18,1720,Assault Offenses,Simple Assault,1/27/18,1,2018
Property,Downtown,6/1/16,1200,Fraud Offenses,Identity Theft,1/27/18,1,2018
Person,Downtown,1/28/18,2328,Assault Offenses,Simple Assault,1/28/18,1,2018
Person,Downtown,1/29/18,0631,Assault Offenses,Simple Assault,1/29/18,1,2018
Society,Downtown,1/29/18,0631,Weapon Law Violations,Weapons Law Violations,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Counterfeiting/Forgery,Counterfeiting/Forgery,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1/29/18,1,2018
Property,Downtown,1/1/13,0800,Fraud Offenses,Identity Theft,1/29/18,1,2018
Person,Downtown,1/30/18,1835,Assault Offenses,Simple Assault,1/30/18,1,2018
Property,Downtown,1/30/18,1835,Vandalism,Vandalism,1/30/18,1,2018
Property,Downtown,5/1/15,1655,Fraud Offenses,Identity Theft,1/31/18,1,2018
Person,Downtown,2/3/18,2212,Assault Offenses,Simple Assault,2/3/18,1,2018
Society,Downtown,2/3/18,2212,Drug/Narcotic Offenses,Drug/Narcotic Violations,2/3/18,1,2018
Person,Downtown,2/3/18,0000,Assault Offenses,Simple Assault,2/3/18,1,2018
Person,Downtown,2/4/18,0048,Assault Offenses,Simple Assault,2/4/18,1,2018
Property,Downtown,1/14/18,1230,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1/14/18,1,2018
Person,Downtown,2/11/18,0406,Assault Offenses,Simple Assault,2/11/18,1,2018
Person,Downtown,2/14/18,2226,Assault Offenses,Simple Assault,2/14/18,1,2018
Property,Downtown,2/14/18,2226,Vandalism,Vandalism,2/14/18,1,2018
Person,Downtown,2/16/18,2138,Assault Offenses,Simple Assault,2/16/18,1,2018
Person,Downtown,2/24/18,0413,Assault Offenses,Simple Assault,2/24/18,1,2018
Property,Downtown,2/24/18,1620,Larceny Offenses,All Other Larceny,2/24/18,1,2018
Person,Downtown,2/19/18,2200,Sex Offenses,Rape,2/20/18,1,2018
Person,Downtown,3/2/18,0053,Assault Offenses,Simple Assault,3/2/18,1,2018
Person,Downtown,3/5/18,1000,Assault Offenses,Simple Assault,3/5/18,1,2018
Person,Downtown,3/6/18,0419,Assault Offenses,Simple Assault,3/6/18,1,2018
Person,Downtown,2/28/18,1900,Assault Offenses,Simple Assault,3/6/18,1,2018
Person,Downtown,3/7/18,1015,Assault Offenses,Simple Assault,3/7/18,1,2018
Property,Downtown,3/9/18,1004,Burglary,Burglary,3/9/18,1,2018
Person,Downtown,3/2/18,2009,Sex Offenses,Sodomy,3/7/18,1,2018
Property,Downtown,3/10/18,1720,Larceny Offenses,Theft From Building,3/10/18,1,2018
Person,Downtown,3/16/18,2140,Assault Offenses,Simple Assault,3/16/18,1,2018
Person,Downtown,8/1/17,1630,Assault Offenses,Simple Assault,2/16/18,1,2018
Person,Downtown,3/17/18,2315,Assault Offenses,Simple Assault,3/17/18,1,2018
Person,Downtown,3/22/18,0445,Assault Offenses,Aggravated Assault,3/22/18,1,2018
Person,Downtown,3/21/18,1608,Assault Offenses,Intimidation,3/21/18,1,2018
Person,Downtown,3/21/18,1608,Assault Offenses,Simple Assault,3/21/18,1,2018
Person,Downtown,3/25/18,2353,Assault Offenses,Simple Assault,3/25/18,1,2018
Person,Downtown,3/25/18,2100,Kidnapping/Abduction,Kidnapping/Abduction,3/27/18,1,2018
Person,Downtown,3/25/18,2100,Sex Offenses,Fondling,3/27/18,1,2018
Property,Downtown,3/25/18,2100,Larceny Offenses,All Other Larceny,3/27/18,1,2018
Person,Downtown,3/24/18,2200,Sex Offenses,Rape,3/25/18,1,2018
Person,Downtown,3/24/18,2245,Sex Offenses,Rape,3/26/18,1,2018
Person,Downtown,3/31/18,0120,Assault Offenses,Simple Assault,3/31/18,1,2018
Person,Downtown,4/1/18,0951,Assault Offenses,Aggravated Assault,4/1/18,1,2018
Person,Downtown,4/1/18,0951,Assault Offenses,Simple Assault,4/1/18,1,2018
Property,Downtown,3/31/18,2046,Larceny Offenses,Theft From Building,3/31/18,1,2018
Person,Downtown,4/5/18,1121,Sex Offenses,Fondling,4/5/18,1,2018
Person,Downtown,4/2/18,1800,Sex Offenses,Rape,4/6/18,1,2018
Person,Downtown,4/5/18,1344,Assault Offenses,Simple Assault,4/5/18,1,2018
Person,Downtown,3/2/18,1200,Assault Offenses,Simple Assault,4/13/18,1,2018
Person,Downtown,4/15/18,1850,Assault Offenses,Intimidation,4/15/18,1,2018
Person,Downtown,4/16/18,1304,Assault Offenses,Simple Assault,4/16/18,1,2018
Person,Downtown,4/12/18,2100,Sex Offenses,Fondling,4/18/18,1,2018
Person,Downtown,4/23/18,1315,Assault Offenses,Simple Assault,4/23/18,1,2018
Property,Downtown,4/23/18,1315,Larceny Offenses,All Other Larceny,4/23/18,1,2018
Person,Downtown,4/25/18,1531,Assault Offenses,Simple Assault,4/25/18,1,2018
Person,Downtown,2/1/18,0001,Sex Offenses,Rape,4/23/18,1,2018
Person,Downtown,4/26/18,1800,Sex Offenses,Rape,4/27/18,1,2018
Person,Downtown,12/15/16,2200,Sex Offenses,Fondling,4/29/18,1,2018
Person,Downtown,5/2/18,1359,Sex Offenses,Fondling,5/2/18,1,2018
Person,Downtown,5/6/18,1238,Assault Offenses,Simple Assault,5/6/18,1,2018
Person,Downtown,5/6/18,2304,Assault Offenses,Simple Assault,5/6/18,2,2018
Property,Downtown,4/17/18,1030,Larceny Offenses,Theft From Building,4/27/18,1,2018
Person,Downtown,5/10/18,1825,Assault Offenses,Simple Assault,5/10/18,1,2018
Person,Downtown,5/11/18,0100,Sex Offenses,Sodomy,5/11/18,1,2018
Person,Downtown,5/5/18,2100,Sex Offenses,Fondling,5/15/18,1,2018
Person,Downtown,4/14/17,0001,Sex Offenses,Sexual Assault With An Object,5/10/18,1,2018
Person,Downtown,5/10/18,0902,Assault Offenses,Intimidation,5/18/18,1,2018
Person,Downtown,5/29/18,0200,Assault Offenses,Simple Assault,5/29/18,1,2018
Person,Downtown,5/27/18,0230,Assault Offenses,Aggravated Assault,5/29/18,1,2018
Person,Downtown,6/4/18,1929,Assault Offenses,Simple Assault,6/4/18,1,2018
Person,Downtown,6/7/18,2333,Assault Offenses,Simple Assault,6/7/18,1,2018
Person,Downtown,6/8/18,1929,Assault Offenses,Simple Assault,6/8/18,1,2018
Person,Downtown,6/8/18,1925,Assault Offenses,Simple Assault,6/8/18,1,2018
Person,Downtown,6/10/18,2340,Assault Offenses,Simple Assault,6/10/18,1,2018
Person,Downtown,5/29/18,1230,Sex Offenses,Fondling,6/8/18,1,2018
Person,Downtown,6/10/18,0200,Kidnapping/Abduction,Kidnapping/Abduction,6/10/18,1,2018
Person,Downtown,6/10/18,0200,Sex Offenses,Rape,6/10/18,1,2018
Person,Downtown,6/15/18,1141,Assault Offenses,Simple Assault,6/15/18,1,2018
Person,Downtown,6/15/18,1141,Kidnapping/Abduction,Kidnapping/Abduction,6/15/18,1,2018
Person,Downtown,6/12/18,0937,Sex Offenses,Fondling,6/12/18,1,2018
Person,Downtown,6/16/18,2113,Assault Offenses,Simple Assault,6/16/18,1,2018
Person,Downtown,6/15/18,1800,Assault Offenses,Simple Assault,6/16/18,1,2018
Person,Downtown,6/22/18,1630,Sex Offenses,Rape,6/22/18,1,2018
Person,Downtown,12/1/17,0000,Sex Offenses,Rape,6/13/18,1,2018
Property,Downtown,5/17/18,1200,Vandalism,Vandalism,6/20/18,1,2018
Person,Downtown,10/9/17,2200,Sex Offenses,Rape,6/20/18,1,2018
Person,Downtown,6/26/18,0905,Assault Offenses,Simple Assault,6/26/18,1,2018
Person,Downtown,6/28/18,0000,Assault Offenses,Aggravated Assault,6/28/18,1,2018
Person,Downtown,6/25/18,1808,Assault Offenses,Simple Assault,6/25/18,1,2018
Property,Downtown,6/25/18,1840,Larceny Offenses,Theft From Motor Vehicle,6/26/18,1,2018
Person,Downtown,6/29/18,0614,Sex Offenses,Rape,6/29/18,1,2018
Person,Downtown,7/2/18,2353,Assault Offenses,Intimidation,7/2/18,1,2018
Person,Downtown,7/5/18,2147,Assault Offenses,Intimidation,7/5/18,1,2018
Person,Downtown,7/3/18,2023,Assault Offenses,Aggravated Assault,7/3/18,1,2018
Property,Downtown,7/8/18,1130,Larceny Offenses,Pocket-Picking,7/8/18,1,2018
Person,Downtown,7/14/18,0152,Assault Offenses,Simple Assault,7/14/18,1,2018
Person,Downtown,7/15/18,0700,Assault Offenses,Simple Assault,7/15/18,1,2018
Person,Downtown,7/15/18,2021,Sex Offenses,Statutory Rape,7/15/18,1,2018
Person,Downtown,7/18/18,0640,Assault Offenses,Simple Assault,7/18/18,1,2018
Person,Downtown,7/21/18,2015,Assault Offenses,Simple Assault,7/21/18,1,2018
Property,Downtown,7/21/18,2015,Burglary,Burglary,7/21/18,1,2018
Person,Downtown,7/23/18,1630,Assault Offenses,Simple Assault,7/23/18,1,2018
Property,Downtown,7/21/18,0213,Fraud Offenses,Hacking/Computer Invasion,7/21/18,1,2018
Person,Downtown,7/26/18,2206,Sex Offenses,Rape,7/26/18,1,2018
Person,Downtown,7/29/18,0218,Assault Offenses,Simple Assault,7/29/18,1,2018
Person,Downtown,7/27/18,0600,Assault Offenses,Simple Assault,7/29/18,1,2018
Person,Downtown,7/21/18,2000,Assault Offenses,Aggravated Assault,7/29/18,1,2018
Person,Downtown,7/28/18,0200,Sex Offenses,Fondling,7/28/18,1,2018
Person,Downtown,8/1/18,2000,Assault Offenses,Simple Assault,8/2/18,1,2018
Person,Downtown,8/2/18,1516,Assault Offenses,Aggravated Assault,8/2/18,1,2018
Person,Downtown,8/9/18,0234,Assault Offenses,Simple Assault,8/9/18,1,2018
Person,Downtown,8/8/18,1500,Sex Offenses,Rape,8/9/18,1,2018
Property,Downtown,8/8/18,1500,Larceny Offenses,All Other Larceny,8/9/18,1,2018
Society,Downtown,3/30/17,1200,Prostitution Offenses,Assisting or Promoting Prostitution,7/30/18,1,2018
Person,Downtown,8/15/18,0500,Sex Offenses,Sodomy,8/15/18,1,2018
Property,Downtown,8/15/18,0500,Robbery,Robbery,8/15/18,1,2018
Property,Downtown,8/17/18,1041,Fraud Offenses,False Pretenses/Swindle/Confidence Game,8/17/18,1,2018
Property,Downtown,8/17/18,1041,Fraud Offenses,Hacking/Computer Invasion,8/17/18,1,2018
Person,Downtown,8/23/18,1525,Assault Offenses,Simple Assault,8/23/18,1,2018
Person,Downtown,8/24/18,0130,Assault Offenses,Simple Assault,8/24/18,2,2018
Property,Downtown,4/1/05,0800,Fraud Offenses,Identity Theft,8/21/18,1,2018
Person,Downtown,8/27/18,1053,Assault Offenses,Simple Assault,8/27/18,1,2018
Person,Downtown,8/27/18,0745,Assault Offenses,Simple Assault,8/27/18,1,2018
Person,Downtown,6/1/08,0001,Sex Offenses,Sodomy,8/27/18,1,2018
Person,Downtown,9/2/18,0800,Assault Offenses,Simple Assault,9/2/18,1,2018
Society,Downtown,9/2/18,0800,Animal Cruelty Offenses,Animal Cruelty,9/2/18,1,2018
Person,Downtown,9/1/18,1338,Sex Offenses,Rape,9/1/18,1,2018
Person,Downtown,8/3/18,0130,Assault Offenses,Simple Assault,9/9/18,1,2018
Person,Downtown,8/22/18,2000,Sex Offenses,Fondling,9/10/18,1,2018
Person,Downtown,9/1/18,0000,Sex Offenses,Rape,9/10/18,1,2018
Person,Downtown,9/12/18,1414,Assault Offenses,Simple Assault,9/12/18,1,2018
Property,Downtown,9/8/18,2100,Larceny Offenses,Theft From Building,9/8/18,1,2018
Property,Downtown,9/10/18,2217,Vandalism,Vandalism,9/10/18,1,2018
Property,Downtown,1/1/18,1450,Fraud Offenses,Identity Theft,9/13/18,1,2018
Person,Downtown,9/22/18,1804,Assault Offenses,Aggravated Assault,9/22/18,1,2018
Person,Downtown,9/22/18,1245,Assault Offenses,Simple Assault,9/22/18,1,2018
Person,Downtown,9/23/18,2030,Assault Offenses,Simple Assault,9/23/18,1,2018
Person,Downtown,9/23/18,0551,Assault Offenses,Simple Assault,9/23/18,1,2018
Person,Downtown,9/10/18,0115,Kidnapping/Abduction,Kidnapping/Abduction,9/20/18,1,2018
Person,Downtown,10/1/18,1823,Assault Offenses,Aggravated Assault,10/1/18,2,2018
Person,Downtown,9/30/18,2300,Kidnapping/Abduction,Kidnapping/Abduction,9/30/18,1,2018
Person,Downtown,9/29/18,2329,Assault Offenses,Simple Assault,9/29/18,1,2018
Person,Downtown,10/8/18,1600,Assault Offenses,Intimidation,10/8/18,1,2018
Person,Downtown,10/7/18,1034,Sex Offenses,Fondling,10/7/18,1,2018
Person,Downtown,10/9/18,1046,Assault Offenses,Simple Assault,10/9/18,1,2018
Property,Downtown,10/9/18,1130,Fraud Offenses,Credit Card/ATM Fraud,10/9/18,1,2018
Property,Downtown,10/9/18,1130,Larceny Offenses,Theft From Building,10/9/18,1,2018
Person,Downtown,10/14/18,2200,Sex Offenses,Rape,10/14/18,1,2018
Person,Downtown,10/18/18,2247,Assault Offenses,Simple Assault,10/18/18,1,2018
Person,Downtown,10/19/18,1132,Assault Offenses,Simple Assault,10/19/18,1,2018
Person,Downtown,10/21/18,1124,Assault Offenses,Aggravated Assault,10/21/18,1,2018
Property,Downtown,10/17/18,1928,Extortion/Blackmail,Extortion/Blackmail,10/17/18,1,2018
Person,Downtown,10/19/18,0600,Assault Offenses,Simple Assault,10/20/18,2,2018
Person,Downtown,10/13/18,2112,Sex Offenses,Fondling,10/13/18,1,2018
Property,Downtown,10/21/18,2129,Fraud Offenses,Credit Card/ATM Fraud,10/21/18,1,2018
Property,Downtown,10/21/18,2129,Fraud Offenses,Identity Theft,10/21/18,1,2018
Property,Downtown,10/21/18,2129,Larceny Offenses,All Other Larceny,10/21/18,1,2018
Person,Downtown,8/1/18,0001,Sex Offenses,Rape,10/21/18,1,2018
Property,Downtown,10/26/18,1545,Vandalism,Vandalism,10/26/18,1,2018
Person,Downtown,11/4/18,0919,Assault Offenses,Simple Assault,11/4/18,1,2018
Property,Downtown,10/29/18,0300,Larceny Offenses,Theft From Motor Vehicle,10/29/18,1,2018
Person,Downtown,10/1/18,1520,Assault Offenses,Simple Assault,10/30/18,1,2018
Person,Downtown,11/7/18,1518,Sex Offenses,Rape,11/7/18,1,2018
Person,Downtown,11/16/18,0411,Assault Offenses,Simple Assault,11/16/18,1,2018
Property,Downtown,11/16/18,0411,Vandalism,Vandalism,11/16/18,1,2018
Person,Downtown,11/19/18,2314,Assault Offenses,Aggravated Assault,11/19/18,1,2018
Person,Downtown,11/19/18,2104,Homicide Offenses,Murder and Non-negligent Manslaughter,11/19/18,1,2018
Society,Downtown,11/19/18,2104,Weapon Law Violations,Weapons Law Violations,11/19/18,1,2018
Person,Downtown,11/21/18,1759,Assault Offenses,Simple Assault,11/21/18,1,2018
Person,Downtown,11/28/18,2328,Assault Offenses,Simple Assault,11/28/18,1,2018
Property,Downtown,11/29/18,1830,Larceny Offenses,Shoplifting,11/29/18,1,2018
Person,Downtown,12/3/18,1306,Assault Offenses,Simple Assault,12/3/18,1,2018
Person,Downtown,12/2/18,1606,Assault Offenses,Simple Assault,12/2/18,1,2018
Person,Downtown,12/9/18,0033,Assault Offenses,Simple Assault,12/9/18,1,2018
Property,Downtown,12/9/18,0033,Larceny Offenses,All Other Larceny,12/9/18,1,2018
Person,Downtown,12/10/18,2212,Assault Offenses,Simple Assault,12/10/18,1,2018
Person,Downtown,11/9/17,0000,Sex Offenses,Rape,12/10/18,1,2018
Property,Downtown,12/7/18,0030,Larceny Offenses,All Other Larceny,12/7/18,1,2018
Person,Downtown,8/11/18,2330,Sex Offenses,Rape,12/9/18,1,2018
Person,Downtown,12/15/18,0325,Assault Offenses,Aggravated Assault,12/15/18,1,2018
Person,Downtown,12/15/18,2235,Assault Offenses,Simple Assault,12/15/18,1,2018
Person,Downtown,10/1/13,0300,Sex Offenses,Sexual Assault With An Object,12/18/18,1,2018
Person,Downtown,12/21/18,1200,Assault Offenses,Simple Assault,12/21/18,1,2018
Person,Downtown,7/1/18,0200,Sex Offenses,Rape,12/5/18,1,2018
Person,Downtown,12/20/18,0400,Assault Offenses,Aggravated Assault,12/23/18,1,2018
Person,Downtown,12/20/18,0245,Sex Offenses,Rape,12/20/18,1,2018
Person,Downtown,12/16/18,2330,Sex Offenses,Sodomy,12/19/18,1,2018
Person,Downtown,12/22/18,0350,Sex Offenses,Fondling,12/22/18,1,2018
Person,Downtown,12/30/17,1715,Assault Offenses,Simple Assault,1/4/18,1,2018
Property,Downtown,2/24/18,1730,Robbery,Robbery,2/24/18,1,2018
Person,Downtown,3/16/18,0232,Assault Offenses,Simple Assault,3/16/18,1,2018
Property,Downtown,3/16/18,0232,Vandalism,Vandalism,3/16/18,1,2018
Property,Downtown,3/28/18,1608,Larceny Offenses,All Other Larceny,3/28/18,1,2018
Property,Downtown,5/17/18,2349,Larceny Offenses,All Other Larceny,5/17/18,1,2018
Person,Downtown,10/6/18,1903,Assault Offenses,Simple Assault,10/6/18,1,2018
Person,Downtown,10/18/18,1714,Assault Offenses,Aggravated Assault,10/18/18,1,2018
Property,Downtown,4/2/18,1930,Motor Vehicle Theft,Motor Vehicle Theft,4/3/18,1,2018
Property,Downtown,1/27/18,0100,Larceny Offenses,Theft From Motor Vehicle,1/28/18,1,2018
Property,Downtown,4/12/18,0210,Larceny Offenses,Theft From Motor Vehicle,4/12/18,1,2018
Property,Downtown,4/24/18,0430,Larceny Offenses,Theft From Motor Vehicle,4/24/18,1,2018
Property,Downtown,8/19/18,1410,Larceny Offenses,All Other Larceny,8/23/18,1,2018
Property,Downtown,10/5/18,1000,Larceny Offenses,Theft From Motor Vehicle,10/5/18,1,2018
Property,Downtown,10/30/18,0200,Larceny Offenses,Theft From Motor Vehicle,10/30/18,1,2018
Property,Downtown,1/3/18,1928,Vandalism,Vandalism,1/3/18,1,2018
Property,Downtown,1/15/18,2218,Vandalism,Vandalism,1/16/18,1,2018
Property,Downtown,9/22/18,2030,Larceny Offenses,Theft From Motor Vehicle,9/25/18,1,2018
Property,Downtown,11/5/18,0223,Vandalism,Vandalism,11/8/18,1,2018
Property,Downtown,11/25/17,1910,Larceny Offenses,All Other Larceny,6/26/18,1,2018
Property,Downtown,7/12/18,1120,Vandalism,Vandalism,7/12/18,1,2018
Property,Downtown,11/22/18,1500,Larceny Offenses,Theft From Motor Vehicle,11/24/18,1,2018
Person,Downtown,6/6/18,2202,Assault Offenses,Simple Assault,6/6/18,1,2018
Property,Downtown,10/25/18,0002,Larceny Offenses,Theft From Motor Vehicle,10/25/18,1,2018
Property,Downtown,9/7/18,1505,Larceny Offenses,Theft From Motor Vehicle,9/8/18,1,2018
Property,Downtown,10/22/18,0745,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,10/23/18,1,2018
Property,Downtown,10/19/18,2200,Larceny Offenses,Theft From Motor Vehicle,10/22/18,1,2018
Property,Downtown,2/11/18,0651,Larceny Offenses,All Other Larceny,2/11/18,1,2018
Property,Downtown,2/20/18,1302,Larceny Offenses,Theft From Building,2/23/18,1,2018
Property,Downtown,3/22/18,1400,Larceny Offenses,All Other Larceny,3/23/18,1,2018
Property,Downtown,4/9/18,0726,Larceny Offenses,Shoplifting,4/9/18,1,2018
Person,Downtown,5/1/18,0909,Assault Offenses,Aggravated Assault,5/1/18,1,2018
Person,Downtown,6/22/18,1448,Assault Offenses,Aggravated Assault,6/22/18,1,2018
Person,Downtown,6/27/18,0853,Assault Offenses,Aggravated Assault,6/27/18,1,2018
Person,Downtown,8/21/18,1547,Assault Offenses,Simple Assault,8/21/18,1,2018
Property,Downtown,8/26/18,2300,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,8/27/18,1,2018
Person,Downtown,9/15/18,2252,Assault Offenses,Simple Assault,9/15/18,1,2018
Property,Downtown,10/24/18,1636,Larceny Offenses,Theft From Building,10/24/18,1,2018
Property,Downtown,10/28/18,2052,Larceny Offenses,All Other Larceny,10/28/18,1,2018
Property,Downtown,11/16/18,1345,Motor Vehicle Theft,Motor Vehicle Theft,11/16/18,1,2018
Property,Downtown,11/16/18,0830,Larceny Offenses,Theft From Motor Vehicle,11/16/18,1,2018
Person,Downtown,12/16/18,0419,Assault Offenses,Simple Assault,12/16/18,1,2018
Property,Downtown,3/9/18,1000,Larceny Offenses,Theft From Motor Vehicle,3/14/18,1,2018
Property,Downtown,9/28/18,1100,Larceny Offenses,All Other Larceny,9/30/18,1,2018
Society,Downtown,8/8/18,1851,Drug/Narcotic Offenses,Drug/Narcotic Violations,8/8/18,1,2018
Person,Downtown,2/7/18,1953,Assault Offenses,Aggravated Assault,2/7/18,1,2018
Property,Downtown,2/9/18,1327,Vandalism,Vandalism,2/9/18,1,2018
Property,Downtown,2/18/18,1903,Larceny Offenses,All Other Larceny,2/18/18,1,2018
Person,Downtown,3/1/18,0614,Assault Offenses,Simple Assault,3/1/18,1,2018
Person,Downtown,3/1/18,2212,Assault Offenses,Simple Assault,3/1/18,1,2018
Person,Downtown,3/2/18,1928,Assault Offenses,Simple Assault,3/2/18,1,2018
Person,Downtown,3/5/18,1321,Assault Offenses,Aggravated Assault,3/5/18,1,2018
Person,Downtown,3/23/18,2318,Assault Offenses,Aggravated Assault,3/23/18,1,2018
Person,Downtown,3/23/18,2318,Assault Offenses,Simple Assault,3/23/18,1,2018
Society,Downtown,5/3/18,1400,Drug/Narcotic Offenses,Drug/Narcotic Violations,5/3/18,1,2018
Society,Downtown,5/3/18,1400,Weapon Law Violations,Weapons Law Violations,5/3/18,1,2018
Person,Downtown,6/14/18,0152,Assault Offenses,Simple Assault,6/14/18,1,2018
Person,Downtown,6/30/18,1643,Assault Offenses,Simple Assault,6/30/18,1,2018
Person,Downtown,8/4/18,1630,Assault Offenses,Simple Assault,8/4/18,1,2018
Person,Downtown,8/14/18,2305,Assault Offenses,Aggravated Assault,8/14/18,1,2018
Property,Downtown,9/28/18,1831,Larceny Offenses,Shoplifting,9/28/18,1,2018
Person,Downtown,9/28/18,2138,Assault Offenses,Aggravated Assault,9/29/18,1,2018
Society,Downtown,9/28/18,2138,Weapon Law Violations,Weapons Law Violations,9/29/18,1,2018
Person,Downtown,11/13/18,0600,Assault Offenses,Simple Assault,11/13/18,1,2018
Person,Downtown,11/16/18,1530,Assault Offenses,Simple Assault,11/16/18,1,2018
Person,Downtown,11/25/18,2127,Assault Offenses,Simple Assault,11/25/18,1,2018
Person,Downtown,12/18/18,2206,Assault Offenses,Simple Assault,12/18/18,1,2018
Property,Downtown,4/4/18,0000,Larceny Offenses,Theft From Motor Vehicle,4/5/18,1,2018
Property,Downtown,5/19/18,0230,Fraud Offenses,Identity Theft,5/22/18,1,2018
Property,Downtown,5/19/18,0230,Larceny Offenses,All Other Larceny,5/22/18,1,2018
Property,Downtown,2/28/18,0715,Motor Vehicle Theft,Motor Vehicle Theft,2/28/18,1,2018
Property,Downtown,2/22/18,0730,Larceny Offenses,Theft From Motor Vehicle,2/25/18,1,2018
Property,Downtown,5/25/18,1445,Larceny Offenses,Theft From Motor Vehicle,5/25/18,1,2018
Property,Downtown,8/31/18,0000,Vandalism,Vandalism,8/31/18,1,2018
Property,Downtown,11/24/18,1515,Larceny Offenses,Theft From Motor Vehicle,11/24/18,1,2018
Property,Downtown,12/14/18,0745,Larceny Offenses,Theft From Motor Vehicle,12/15/18,1,2018
Property,Downtown,9/3/18,1700,Burglary,Burglary,9/5/18,1,2018
Property,Downtown,4/23/18,0840,Larceny Offenses,Theft From Motor Vehicle,4/23/18,1,2018
Property,Downtown,12/27/18,0300,Vandalism,Vandalism,12/28/18,1,2018
Property,Downtown,1/17/18,1557,Larceny Offenses,All Other Larceny,1/26/18,1,2018
Person,Downtown,2/15/18,1735,Assault Offenses,Intimidation,2/15/18,1,2018
Property,Downtown,12/3/18,1407,Fraud Offenses,False Pretenses/Swindle/Confidence Game,12/13/18,1,2018
Property,Downtown,2/22/18,2315,Larceny Offenses,All Other Larceny,2/27/18,1,2018
Property,Downtown,3/28/18,0045,Vandalism,Vandalism,3/28/18,1,2018
Property,Downtown,9/13/18,2300,Vandalism,Vandalism,9/19/18,1,2018
Property,Downtown,3/4/18,1530,Larceny Offenses,Theft From Motor Vehicle,3/5/18,1,2018
Property,Downtown,10/10/18,1349,Fraud Offenses,False Pretenses/Swindle/Confidence Game,10/10/18,1,2018
Property,Downtown,11/9/18,0544,Larceny Offenses,All Other Larceny,11/9/18,1,2018
Property,Downtown,10/30/17,0001,Fraud Offenses,Credit Card/ATM Fraud,1/16/18,1,2018
Property,Downtown,2/27/18,0000,Counterfeiting/Forgery,Counterfeiting/Forgery,3/13/18,1,2018
Property,Downtown,2/27/18,0000,Fraud Offenses,Identity Theft,3/13/18,1,2018
Property,Downtown,5/21/18,0800,Fraud Offenses,False Pretenses/Swindle/Confidence Game,5/23/18,1,2018
Property,Downtown,5/21/18,0800,Fraud Offenses,Identity Theft,5/23/18,1,2018
Property,Downtown,12/7/18,1111,Larceny Offenses,All Other Larceny,12/7/18,1,2018
Property,Downtown,8/8/18,0530,Larceny Offenses,All Other Larceny,8/9/18,1,2018
Property,Downtown,4/6/18,1700,Larceny Offenses,All Other Larceny,4/26/18,1,2018
Property,Downtown,1/8/18,1345,Larceny Offenses,Shoplifting,1/8/18,1,2018
Property,Downtown,3/13/18,1715,Counterfeiting/Forgery,Counterfeiting/Forgery,3/13/18,1,2018
Property,Downtown,4/12/18,1640,Counterfeiting/Forgery,Counterfeiting/Forgery,4/12/18,1,2018
Property,Downtown,7/23/18,1156,Extortion/Blackmail,Extortion/Blackmail,8/22/18,1,2018
Property,Downtown,1/10/18,0930,Larceny Offenses,All Other Larceny,1/10/18,1,2018
Property,Downtown,7/18/18,1715,Robbery,Robbery,7/20/18,1,2018
Property,Downtown,9/21/18,2038,Vandalism,Vandalism,9/21/18,1,2018
Property,Downtown,3/1/18,1035,Larceny Offenses,All Other Larceny,3/5/18,1,2018
Property,Downtown,2/23/18,1700,Fraud Offenses,Identity Theft,2/26/18,1,2018
Property,Downtown,11/23/18,0001,Fraud Offenses,Hacking/Computer Invasion,11/27/18,1,2018
Property,Downtown,11/23/18,0001,Fraud Offenses,Identity Theft,11/27/18,1,2018
Property,Downtown,6/20/18,1003,Fraud Offenses,False Pretenses/Swindle/Confidence Game,6/22/18,1,2018
Property,Downtown,6/20/18,1003,Fraud Offenses,Identity Theft,6/22/18,1,2018
