CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Property,Downtown,9/1/22,0740,Larceny Offenses,Theft From Motor Vehicle,9/2/22,1,2022
Property,Downtown,10/1/22,0740,Larceny Offenses,Theft From Motor Vehicle,10/3/22,1,2022
Property,Downtown,10/25/22,0900,Vandalism,Vandalism,10/26/22,1,2022
Property,Downtown,12/5/22,1900,Larceny Offenses,Theft From Motor Vehicle,12/6/22,1,2022
Property,Downtown,12/10/22,0700,Larceny Offenses,Theft From Motor Vehicle,12/12/22,1,2022
Property,Downtown,4/17/22,0430,Larceny Offenses,Theft From Motor Vehicle,4/17/22,1,2022
Property,Downtown,4/17/22,0430,Vandalism,Vandalism,4/17/22,1,2022
Property,Downtown,5/26/22,2030,Larceny Offenses,Theft From Motor Vehicle,5/27/22,1,2022
Property,Downtown,6/26/22,0638,Larceny Offenses,All Other Larceny,6/26/22,1,2022
Property,Downtown,7/26/22,0401,Robbery,Robbery,7/26/22,1,2022
Property,Downtown,9/17/22,1751,Larceny Offenses,Theft From Motor Vehicle,9/17/22,1,2022
Property,Downtown,11/28/22,1600,Fraud Offenses,Credit Card/ATM Fraud,11/29/22,1,2022
Property,Downtown,6/28/22,1135,Vandalism,Vandalism,6/29/22,1,2022
Property,Downtown,10/19/22,1300,Larceny Offenses,All Other Larceny,10/19/22,1,2022
Person,Downtown,1/12/22,1454,Assault Offenses,Simple Assault,1/12/22,1,2022
Property,Downtown,1/12/22,1454,Vandalism,Vandalism,1/12/22,1,2022
Property,Downtown,12/26/21,0001,Motor Vehicle Theft,Motor Vehicle Theft,2/10/22,1,2022
Property,Downtown,2/13/22,0000,Vandalism,Vandalism,2/24/22,1,2022
Property,Downtown,6/23/22,2200,Motor Vehicle Theft,Motor Vehicle Theft,6/24/22,1,2022
Property,Downtown,8/20/22,2023,Motor Vehicle Theft,Motor Vehicle Theft,8/20/22,1,2022
Property,Downtown,10/23/22,2000,Motor Vehicle Theft,Motor Vehicle Theft,10/24/22,1,2022
Property,Downtown,1/24/22,1707,Larceny Offenses,All Other Larceny,1/26/22,1,2022
Property,Downtown,1/26/22,1800,Larceny Offenses,Theft From Motor Vehicle,1/26/22,1,2022
Property,Downtown,2/6/22,0400,Vandalism,Vandalism,2/6/22,1,2022
Property,Downtown,2/13/22,2300,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,2/15/22,1,2022
Property,Downtown,4/5/22,1100,Larceny Offenses,Theft From Motor Vehicle,4/5/22,1,2022
Property,Downtown,7/23/22,1000,Vandalism,Vandalism,7/23/22,1,2022
Property,Downtown,6/12/22,1435,Fraud Offenses,Identity Theft,9/23/22,1,2022
Property,Downtown,10/1/22,0200,Larceny Offenses,Theft From Motor Vehicle,10/1/22,1,2022
